pfam,prozant
PF02702,0.19760304855268732
PF02321,-0.022446569628021926
PF00254,0.021434797339845386
PF07690,0.048933733843924285
PF00375,-0.017756293956366277
PF01979,-0.02603523344911403
PF00083,-0.07346500907416492
PF13416,-0.016943019428538313
PF02667,0.0002703844143552084
PF00657,-0.010623915091023228
PF04055,-0.0051329103417570646
PF06745,0.004679136740473509
PF12795,-0.005832200677423013
PF02518,-0.0017158874075621066
PF02879,0.0022821765484416848
PF01220,0.0003180758112655436
PF00749,-0.005150431076912897
PF00593,-0.003915390460822213
PF00126,8.58823468550575e-07
PF08967,0.0015563156138138357
PF13458,-0.0003302507615407695
PF02574,-0.00286841699614774
PF00873,-0.0016903238320456473
PF00082,-0.006004686580337449
PF03389,-0.0028136911630673436
PF00355,-0.0035981288289328034
PF07495,-0.003102249405023118
PF00710,-0.0019438249552449875
PF00697,0.001010627650466838
PF03186,-0.0016345316034793817
PF00005,-0.000705570424748682
PF00106,-0.0013909980793467094
PF00310,-0.0011470498714277757
PF13561,0.000423469467500178
PF07715,-0.0016485277565761805
PF00330,-0.0001833574297904453
PF01765,-0.00023520993226303728
PF13180,-0.0018250721296651493
PF00588,0.00043399995032999527
PF05707,-0.00133997494444664
PF00875,0.0022319238693220837
PF03466,-0.0002573520213565556
PF02463,-0.0009061526499895604
PF00828,-0.0011118298247464395
PF00512,0.0013601618984413358
PF03401,-0.0009970167252602736
PF01381,0.0013826298433846577
PF10013,-0.0006995720076717147
PF00171,-0.0005617133515310633
PF14700,-0.0009340561282467003
PF04715,-0.000446159712408832
PF13525,-0.0005572701137146706
PF00581,0.0002936679194197882
PF06412,0.0015451780633768271
PF05732,-0.0008878020870128273
PF07992,0.0011013140698646357
PF02880,0.0015083881094869029
PF00501,-0.0005297813192437926
PF00905,0.0013655086038186954
PF00205,-0.00019776826667350519
PF00528,-0.00029085396085241455
PF00586,-0.00027134817445335414
PF01578,-0.0008263225692713848
PF13531,-0.0006199048548784405
PF13792,-0.0004567790231751075
PF02486,-0.0007187519382209711
PF03090,-0.0014816251267040766
PF01464,-0.0005303589309549564
PF02355,0.0006518516151137244
PF00561,-0.0005851735919718104
