"","anantharaman_abe_1_1","anantharaman_abe_2_2","anantharaman_abe_background_3","anantharaman_kilo_moana_km1_4","anantharaman_kilo_moana_km4_1_5","anantharaman_kilo_moana_km4_2_6","anantharaman_mariner_7","anantharaman_mariner_background_8","anantharaman_tahi_moana_9","anantharaman_tahi_moana_background_10","anantharaman_tui_malila_11","anderson_hulk_cellular_12","anderson_hulk_virome_13","axial_seamount_unpublished_anemone_14","axial_seamount_unpublished_dependable_15","axial_seamount_unpublished_elguapo_16","axial_seamount_unpublished_marker113_18","axial_seamount_unpublished_marker33_17","axial_seamount_unpublished_marshmallow_19","axial_seamount_unpublished_n3_20","cayman_rise_unpublished_beebe_21","cayman_rise_unpublished_beebe_background_22","cayman_rise_unpublished_von_damm_2041_23","cayman_rise_unpublished_von_damm_2238_24","lanzen_trollveggen_25","lesniewski_guaymas_basin_GD1_26","lesniewski_guaymas_basin_GD2_27","nakai_fryer_28","perner_sisters_peak_29","stokke_lokis_castle_30","tang_kueishantao_G1_31","tang_kueishantao_G2_32","TARA_023_DCM_0.22-1.6_41","TARA_023_SRF_0.22-1.6_40","TARA_038_MES_0.22-1.6_42","xie_4143-1_33"
"anantharaman_abe_1_1",0,0.326162585392861,0.44436087670612,0.459858304403535,0.238457302012955,0.24500108927811,0.601572403646258,0.282281713968768,0.454488269615106,0.518979495913619,0.395486667376752,0.771924245074498,0.766138517355282,0.400639835881616,0.868285957657929,0.351133620531065,0.636541251438424,0.538717212215931,0.504181054830866,0.640344657031679,0.403338581712561,0.488368730072046,0.657553459718924,0.606702552717977,0.797541256307342,0.341123751390317,0.37243729245231,0.918165099458681,0.981067672521273,0.868536299132712,0.89258782887355,0.743370599746845,0.690765931589254,0.69868977934024,0.554390429483941,0.850562539819848
"anantharaman_abe_2_2",0.326162585392861,0,0.439507294277302,0.447496795462656,0.180049826998658,0.102612542874359,0.61666177954864,0.260828067317073,0.454305140384896,0.297183836758529,0.425841838827113,0.810514430010727,0.828794944615031,0.325169418421607,0.90072404966877,0.267090422239579,0.749964714148677,0.662362989059739,0.331724476651479,0.725743825708133,0.531836079779459,0.58475658829956,0.739690754062076,0.70119310310258,0.883732021852507,0.355437561332989,0.362732078667944,0.935723732888413,0.985441832761903,0.914787710936628,0.937611433035938,0.726833289193556,0.662806969861378,0.67121284715912,0.572812098276831,0.872894535055241
"anantharaman_abe_background_3",0.44436087670612,0.439507294277302,0,0.269189633526969,0.442637469531333,0.458666197624373,0.667823488416867,0.457579240966909,0.269783467075669,0.690905206570042,0.286137425241193,0.804094896174714,0.819504195503048,0.634860735978814,0.880080830271862,0.605941829181779,0.733072204999933,0.712422394773297,0.698267138983709,0.794054825211089,0.529584334891343,0.600387447876874,0.740640204976954,0.701719335743909,0.858316149215956,0.521148606162229,0.558669139060328,0.913238006577459,0.975068924277712,0.898807122565043,0.897104323044192,0.797497402884927,0.53708954541297,0.546779786625658,0.463842891199116,0.876601487785746
"anantharaman_kilo_moana_km1_4",0.459858304403535,0.447496795462656,0.269189633526969,0,0.478708547985111,0.446399412679369,0.667183702213171,0.429586077165544,0.319089998231862,0.696728651838614,0.24508649763853,0.812613544345754,0.861819529749298,0.655544858976405,0.886844483277836,0.615814744101412,0.763378151375089,0.742018085773121,0.724957486928717,0.818488184570392,0.481448744614268,0.538095963046375,0.700372517487534,0.662938223828729,0.880269617022713,0.510784722825315,0.554836405389744,0.913067235218805,0.978161931093534,0.923036983114351,0.92287299262682,0.819055660738541,0.544696267677163,0.547085906888738,0.457480581454564,0.902494078948747
"anantharaman_kilo_moana_km4_1_5",0.238457302012955,0.180049826998658,0.442637469531333,0.478708547985111,0,0.140990965383338,0.609310534358393,0.267431303337166,0.442440318887023,0.372657146016308,0.467075279297621,0.794744643008384,0.80629457984761,0.328208643964217,0.878987685650868,0.298423269305218,0.709456716158767,0.622413622624135,0.38899107354038,0.693186147541377,0.521941703244819,0.597608291227903,0.718364380299102,0.675692225009747,0.854341244511746,0.382561786797862,0.373971898148816,0.925398543945019,0.982199075750048,0.902066821803585,0.921578772823839,0.747157650232437,0.733803248019489,0.742154670768329,0.643070675164983,0.856720440922075
"anantharaman_kilo_moana_km4_2_6",0.24500108927811,0.102612542874359,0.458666197624373,0.446399412679369,0.140990965383338,0,0.615817595718313,0.223436674528489,0.458986275880104,0.351396993363121,0.411890009177517,0.811978023110779,0.831097031536959,0.320049563009797,0.888456687645636,0.245214940800104,0.732303967121304,0.637084244640581,0.374873380452175,0.713241011483949,0.476182860628304,0.539184003822804,0.710404087075591,0.66762107364894,0.869465198563966,0.326267711750113,0.335027589724446,0.936478466018948,0.98593304345813,0.914554495862247,0.943736581275687,0.743454045601343,0.664838358835884,0.672346444314709,0.565367125748688,0.870409311876106
"anantharaman_mariner_7",0.601572403646258,0.61666177954864,0.667823488416867,0.667183702213171,0.609310534358393,0.615817595718313,0,0.598738095761187,0.649752677541342,0.657341663338727,0.64408252545362,0.764744204748176,0.753206102309538,0.664781006782855,0.911935062899163,0.664486656824546,0.80476475983302,0.74383630741115,0.704239851463048,0.79378043758413,0.624532293881508,0.678619002996139,0.61621472498778,0.585877611392728,0.913039472559511,0.597000240954821,0.595372648231734,0.920994045432606,0.98640368664749,0.934077086850587,0.944383607067415,0.785390542570241,0.794820152617103,0.809517373360999,0.713978502324148,0.875095622025411
"anantharaman_mariner_background_8",0.282281713968768,0.260828067317073,0.457579240966909,0.429586077165544,0.267431303337166,0.223436674528489,0.598738095761187,0,0.415554877941324,0.448371114753805,0.376137703644808,0.800529151349508,0.828181822472274,0.428977011790809,0.884130819346767,0.358535970457376,0.717188506410724,0.635304354015236,0.511963794230403,0.704129042663396,0.446624332506345,0.503913209468057,0.697804557647076,0.65008306654022,0.870072055346606,0.319364354422136,0.330765500261135,0.9185715701642,0.985799519451419,0.926731061121655,0.922996120524039,0.757742271340202,0.64149518370042,0.652485681143546,0.479739500114865,0.879481412273751
"anantharaman_tahi_moana_9",0.454488269615106,0.454305140384896,0.269783467075669,0.319089998231862,0.442440318887023,0.458986275880104,0.649752677541342,0.415554877941324,0,0.677790203010827,0.32387308811055,0.819202502669266,0.856617705548136,0.640096980043125,0.915064439621706,0.610647223613738,0.760012712742395,0.732891463853442,0.709874180075675,0.798637379294123,0.537189259524019,0.607189112397856,0.754913721509642,0.719483388141202,0.891592317166037,0.525387827348931,0.555315609831488,0.928247092452842,0.979538447994432,0.92017607089367,0.919694090629253,0.795431058210126,0.634757706753895,0.648103199489271,0.540722359271273,0.898945595117664
"anantharaman_tahi_moana_background_10",0.518979495913619,0.297183836758529,0.690905206570042,0.696728651838614,0.372657146016308,0.351396993363121,0.657341663338727,0.448371114753805,0.677790203010827,0,0.657446989035897,0.79350582681932,0.807505086451405,0.368105183622922,0.901133113913203,0.334896687489104,0.773142985406899,0.683818931393337,0.265606157859598,0.723596713981017,0.668043263467138,0.682970298388284,0.744121248691147,0.716550556331041,0.875880183014306,0.476096440066644,0.451617777892388,0.923111855807326,0.985624704818387,0.904822093643967,0.937069878888794,0.748390659433369,0.779601027606064,0.785748745806928,0.703530122748,0.862831297333668
