pfam	count	tool
PF00005	313933	uproc
PF07690	254654	uproc
PF00528	196264	uproc
PF02305	167643	uproc
PF12796	154091	uproc
PF00884	140991	uproc
PF00516	140395	uproc
PF04055	133371	uproc
PF00361	132781	uproc
PF00873	130760	uproc
PF00005	203115	diamond
PF07690	83156	diamond
PF00528	134908	diamond
PF02305	163777	diamond
PF12796	39256	diamond
PF00884	115115	diamond
PF00516	0	diamond
PF04055	105797	diamond
PF00361	105245	diamond
PF00873	108656	diamond
