uproc,diamond
259794,224978
297717,282709
176949,204060
85366,40158
272434,229224
321969,392043
249649,215362
243402,225336
194119,121629
174232,159555
203292,169149
177333,160326
241591,195984
186517,155097
261743,210611
186071,129834
213061,146739
232274,194175
316883,284134
225045,193180
250721,184781
223025,165617
299189,238822
225101,194803
245690,244521
241817,221441
205759,180306
261249,238650
216719,173277
269958,280171
456743,374319
141926,142231
252608,199874
261565,246778
257905,254196
218357,172795
240615,209591
175194,167002
266672,209706
248411,195174
277280,256582
218747,164429
230118,157284
100941,47423
222155,197617
214538,180491
216647,192561
240103,193354
90428,86460
219878,138412
274491,261440
254459,226818
265722,241413
201282,172944
239493,173720
214154,130788
231694,400780
286504,273142
200735,177758
284265,283968
126254,125199
207023,184553
218342,194708
182348,164414
173858,148449
254063,207287
190634,181629
179918,181728
289413,219370
279914,250755
297739,312013
318392,290183
234749,170123
257124,223544
219783,183495
230572,188247
185052,163601
253643,199148
195424,166565
185728,162713
279524,226130
150060,127462
203399,186273
285838,227254
207622,188602
191454,177703
285035,240067
154519,165507
162937,124627
255432,241944
158688,132980
276765,237881
245780,217184
214770,257775
192701,200646
196557,141392
225737,201272
155457,135760
204476,172833
102910,72521
229182,206401
206827,162467
222090,206572
236118,208433
208741,166148
256471,247172
231703,199723
166397,147421
175441,136932
235063,194553
148727,133283
224147,187161
139320,132149
162593,133139
195610,194493
206762,181031
245201,227142
194575,178396
202460,171861
205555,187908
219986,208758
229764,263427
225949,219794
310814,252603
210361,190310
70205,25053
297331,261628
198621,175395
226223,235211
220113,189765
154109,146856
117624,93830
181721,157215
150294,127661
207099,170475
186303,165810
230231,189600
245095,221353
103525,144971
207246,145505
216286,170066
234074,223830
218840,165932
243143,195464
100606,20697
119027,232354
225956,190767
213849,153439
204259,171248
158056,107158
184235,155894
199441,153997
196535,154734
186403,153975
113942,101094
220475,217773
89716,81842
249611,214018
115177,78097
223546,170493
278825,269154
155021,153886
211436,190119
188222,172745
165767,141212
242370,234665
154789,80049
167308,138341
183103,139651
198969,181771
323782,336353
234214,185125
206795,139956
232071,211487
145224,115720
185738,139290
168814,170329
138192,107959
193332,148437
181605,167526
187893,174349
202795,182655
135626,121648
206988,188039
81552,7
263297,269410
135829,102480
243943,259279
154259,137843
204663,179812
210597,191697
193423,168220
161732,157620
136235,131339
174514,110076
167184,152685
216629,169627
260993,254577
194910,168486
195042,166412
171280,135537
292533,306756
229635,198191
137301,159634
136269,89895
165233,152663
175581,134585
251255,243569
139346,138684
130509,119385
146108,128773
170833,166775
213555,190579
201337,184754
160990,127667
122577,115599
183129,127961
47525,60179
134844,124238
119830,118495
225520,168782
105732,72460
130359,114805
114896,155793
173601,184442
150535,104181
208243,184115
165594,140471
194264,161946
178961,147690
163491,137908
149944,107667
143211,127584
152187,121956
175429,150005
173237,147462
149574,122380
165367,163184
160029,117231
152656,118377
160722,135694
178112,199565
163187,116862
168091,172169
110670,105052
169860,141318
147902,114032
141901,145856
145300,132058
212602,174289
196144,160711
123374,114822
199433,171565
228202,198826
105973,108278
78742,66885
252543,222199
166493,133898
156339,143835
143128,115232
90017,16631
127705,138230
163394,129893
163008,134121
144031,134276
158792,110591
197873,190594
153565,118550
180983,161344
273604,213890
208723,183884
172213,180706
106261,98870
145714,134316
124789,79872
119553,115688
159755,144533
209072,204465
175040,142468
170542,126846
151546,118099
215734,199345
176389,140664
129710,83104
117420,109729
167226,160379
136498,222713
331909,301633
152649,88317
173288,171091
111560,102102
134096,98105
109534,101655
105061,118796
185245,157194
197898,165457
150734,140718
157068,136771
183359,142406
126253,107696
113960,88607
122001,118058
117878,90329
152696,136033
99587,83731
111695,83996
143296,137626
160261,140149
146771,455144
168857,151518
131707,108971
101785,94836
214982,220203
161801,158663
203237,184571
214436,234834
125123,112076
116228,92077
180605,160598
55218,16339
161384,132392
149706,130454
104938,93826
99084,89718
50326,50902
202986,194779
191098,143638
156847,147734
77612,68597
119880,83023
121522,134604
