0,0
1,0
2,0
3,0
4,0
5,1
6,5
7,4
8,16
9,118
10,1198
11,4084
12,2663
13,892
14,1279
15,3130
16,4012
17,2662
18,845
19,507
20,348
21,410
22,442
23,401
24,609
25,1908
26,5537
27,6273
28,753
29,634
30,867
31,689
32,474
33,445
34,718
35,934
36,1156
37,1844
38,1259
39,1198
40,1626
41,2585
42,3612
43,2496
44,1602
45,1624
46,924
47,878
48,761
49,709
50,1181
51,921
52,764
53,782
54,754
55,763
56,842
57,824
58,841
59,714
60,896
61,946
62,1025
63,1215
64,1231
65,1044
66,1029
67,815
68,806
69,894
70,1010
71,1283
72,1284
73,1685
74,1324
75,1303
76,1397
77,1711
78,2103
79,4811
80,3920
81,2104
82,5553
83,923
84,915
85,1000
86,1396
87,1252
88,1089
89,1280
90,1218
91,1273
92,1698
93,2380
94,3609
95,5140
96,8308
97,19437
98,32399
99,3268
100,138
