vent,Transposase DDE domain(PF01609),Transposase(PF01527),Transposase Mutator family(PF00872),Transposase IS200 like(PF01797),Transposase(PF01610),Transposase(PF01548),Transposase IS116/IS110/IS902 f...(PF02371),Putative transposase(PF04986),Tn3 transposase DDE domain(PF01526),IS1 transposase(PF03400),Bacteriophage Mu transposase(PF02914)
anantharaman,0.0960592528376956,0.06656506840476123,0.06330999639079463,0.028127515899410795,0.01295564832792953,0.011445848968259908,0.010305419482515578,0.008139988596628567,0.004076919983450383,0.003222752149998151,8.310822163319013e-05
anantharaman,0.04090708091360372,0.0442590767100198,0.028703759475080887,0.0070982000100878176,0.002453396485032078,0.0037608952105880953,0.0031095943472961465,0.004120824635038909,0.0009696057964797433,0.002206098036940022,0.0
anantharaman,0.07227708268491095,0.060715614750971786,0.0705077626231495,0.01684793840187419,0.004720574577736008,0.004648942186571577,0.004083046296372571,0.005035757098859505,0.0026862146686661655,0.006210528313956174,0.0
anantharaman,0.13884317231129212,0.10391460637028235,0.097153427224413,0.009981387259995042,0.011663820210246256,0.010729834067770349,0.00803794134736841,0.00553158796166707,0.06429724130997437,0.007773783650506537,0.0
anantharaman,0.05072065715608252,0.05574017693461522,0.036560909902039855,0.012133963100998476,0.006443791230843636,0.006817143941643588,0.0061534057891103385,0.006222545179999219,0.002240116264799719,0.002018870213955302,0.0
anantharaman,0.05571702450390491,0.05714980175389677,0.03108024496136192,0.007494527153803584,0.003852100936657294,0.005301007011226926,0.0045671454929384105,0.004626284516390232,0.0016155705952065832,0.002373625350361752,0.0
anantharaman,0.20900164403701513,0.051513676536282776,0.02129293127356453,0.012153152884243094,0.06952115960724768,0.08775484349331694,0.08144494802862272,0.02368781263068337,0.1234265538528856,0.0011278404277580796,2.3727358227729586e-05
anantharaman,0.052950785733503536,0.06506519750711927,0.0434646056221647,0.006361039045943525,0.005238502743718197,0.01456004419739732,0.011788127888435578,0.0035891227369817817,0.0058102479003182975,0.0022390857441721207,8.381604389949115e-05
anantharaman,0.0697237496420769,0.0721005639001489,0.06538751289808209,0.010782620780521841,0.004061840301192995,0.004977783356742699,0.003988410267203778,0.005058942867993939,0.0022801957922967335,0.0067787515587940175,0.0
anantharaman,0.034428227956373555,0.02375149764158013,0.017356732276264726,0.004131660635335994,0.001991532162381881,0.008329933409894024,0.0064101373974435666,0.002355336922748382,0.0034723712573948226,0.0013083307344635682,3.757607853550718e-05
anantharaman,0.1137774686405904,0.09338929938778318,0.10819308673235142,0.015249847858862707,0.002666505394843156,0.0045222157112173676,0.0033097197276103127,0.0035438398870466345,0.0013874699975015682,0.011006111916238017,0.0
anderson,0.07216116782794885,0.06802077295257473,0.13190115102977534,0.021884944341263174,0.010055244697337134,0.04199543373593744,0.027208309181029892,0.008872274732944531,0.04791028355790047,0.0017744549465889062,0.0
anderson,0.15038075126383824,0.07679017085813016,0.1279836180968836,0.01279836180968836,0.05759262814359762,0.07039098995328598,0.05759262814359762,0.01279836180968836,0.07039098995328598,0.04159467588148717,0.0
axial_seamount,0.09847073444148335,0.033066184805732445,0.09453389002739415,0.05067446580908521,0.021903521617604158,0.017368431238628846,0.01140802674054701,0.0061781991120265466,0.0017974947885057155,0.01666818020138889,0.0
axial_seamount,0.12511672828853834,0.0735263241037167,0.05452985744651495,0.042852029522508814,0.046171412117346176,0.059648905303613525,0.028374722301651892,0.010458054801806864,0.1687886053194106,0.01837658195575623,0.0
axial_seamount,0.055222059846336234,0.032614647669930594,0.05552885823133634,0.026084460539740173,0.008468295207476037,0.007485220812529461,0.005867106749706323,0.003991677912366967,0.0012882233262638848,0.004826301475861878,8.247268413981336e-06
