0.17
222398.78,222398.78
78882.05,78882.03,301112.53
78874.33,78874.32,301104.07,15.55
78874.7,78874.69,301104.44,15.35,0.37
163422.46,163422.51,77234.99,241381.58,241375.62,241375.98
77499.05,77499.15,290164.85,50805.53,50815.49,50815.59,222417.28
8897.79,8897.77,231256.42,69986.44,69978.69,69979.06,172204.95,70816.74
8825.41,8825.39,231193.1,70057.09,70049.36,70049.73,172117.34,70800.79,123.57
142136.9,142136.94,94211.09,219981.13,219975.23,219975.6,21425.23,201286.79,150897.08,150808.26
8963435.67,8963435.58,9156482.43,8892248.08,8892249.23,8892248.9,9121447.32,8928793.13,8955326.05,8955433.58,9101427.04
8963435.67,8963435.58,9156482.43,8892248.08,8892249.23,8892248.9,9121447.32,8928793.13,8955326.05,8955433.58,9101427.04,0.0
8753201.65,8753201.57,8944417.26,8682595.03,8682595.91,8682595.59,8910501.89,8719734.64,8745154.33,8745262.86,8890609.58,234823.62,234823.62
8760139.95,8760139.86,8951065.68,8689623.04,8689623.88,8689623.56,8917327.03,8726850.55,8752102.31,8752210.99,8897455.0,236360.9,236360.9,17346.34
8754483.88,8754483.79,8945655.43,8683890.87,8683891.75,8683891.43,8911766.96,8721043.86,8746438.02,8746546.58,8891877.73,234773.43,234773.43,2737.51,14618.26
8755559.96,8755559.87,8946760.85,8684957.75,8684958.63,8684958.31,8912854.54,8722101.64,8747513.11,8747621.65,8892963.25,233073.73,233073.73,2487.19,15787.44,1951.86
8754867.24,8754867.15,8946050.73,8684270.49,8684271.37,8684271.05,8912155.0,8721419.78,8746820.98,8746929.53,8892264.93,234130.03,234130.03,2420.61,15093.01,765.17,1188.89
8753252.65,8753252.56,8944468.73,8682645.87,8682646.75,8682646.43,8910553.07,8719785.33,8745205.3,8745313.83,8890660.72,234765.93,234765.93,57.71,17350.82,2738.11,2447.79,2405.77
8753711.46,8753711.37,8944886.47,8683117.42,8683118.3,8683117.98,8910995.86,8720269.42,8745665.49,8745774.04,8891106.39,235376.71,235376.71,2291.93,15100.37,794.06,2345.84,1250.76,2307.6
11172785.72,11172785.56,11233343.22,11145290.84,11145280.89,11145280.78,11256699.1,11196096.36,11169518.72,11169638.28,11247750.28,5362602.98,5362602.98,5353717.5,5336379.33,5350982.83,5351994.78,5351417.48,5353720.12,5351479.66
11172785.72,11172785.56,11233343.22,11145290.84,11145280.89,11145280.78,11256699.1,11196096.36,11169518.72,11169638.28,11247750.28,5362602.98,5362602.98,5353717.5,5336379.33,5350982.83,5351994.78,5351417.48,5353720.12,5351479.66,0.0
11158785.29,11158785.12,11218831.41,11131470.71,11131460.73,11131460.62,11242361.43,11182276.15,11155538.38,11155657.87,11233459.04,5371212.82,5371212.82,5361389.52,5344049.34,5358655.38,5359674.06,5359092.56,5361392.37,5359149.7,20663.42,20663.42
11158785.29,11158785.12,11218831.41,11131470.71,11131460.73,11131460.62,11242361.43,11182276.15,11155538.38,11155657.87,11233459.04,5371212.82,5371212.82,5361389.52,5344049.34,5358655.38,5359674.06,5359092.56,5361392.37,5359149.7,20663.42,20663.42,0.0
14361211.4,14361211.39,14583059.24,14282331.08,14282338.89,14282338.52,14521534.93,14299606.16,14352316.98,14352387.15,14500197.41,6023530.36,6023530.36,6258252.83,6258668.1,6258107.8,6256446.14,6257481.25,6258195.2,6258730.89,7557859.53,7557859.53,7578459.86,7578459.86
8763994.69,8763994.55,8891233.63,8714306.94,8714301.31,8714301.09,8888936.38,8762474.18,8758241.1,8758364.36,8874096.89,2786412.26,2786412.26,2666361.66,2650748.16,2663994.03,2665663.0,2664670.57,2666390.61,2664148.29,3178275.96,3178275.96,3177838.84,3177838.84,7706614.74
8765846.33,8765846.19,8893074.72,8716161.78,8716156.14,8716155.93,8890782.12,8764329.83,8760093.1,8760216.36,8875943.53,2786692.0,2786692.0,2666782.57,2651163.7,2664413.96,2666082.21,2665090.25,2666811.48,2664568.78,3176665.06,3176665.06,3176234.58,3176234.58,7705419.39,1881.73
