vent&classified&percent
anantharaman_abe_1_1&21658507&15.07
anantharaman_abe_2_2&40841340&25.75
anantharaman_abe_background_3&13960165&8.92
anantharaman_kilo_moana_km1_4&31799187&23.3
anantharaman_kilo_moana_km4_1_5&14463535&14.29
anantharaman_kilo_moana_km4_2_6&37200479&25.18
anantharaman_mariner_7&63218163&36.39
anantharaman_mariner_background_8&33406492&24.19
anantharaman_tahi_moana_9&25874971&16.86
anantharaman_tahi_moana_background_10&58547887&33.85
anantharaman_tui_malila_11&40577454&23.78
anderson_hulk_cellular_12&169066&22.53
anderson_hulk_virome_13&31254&14.12
axial_seamount_unpublished_anemone_14&36272706&33.4
axial_seamount_unpublished_dependable_15&5000930&17.81
axial_seamount_unpublished_elguapo_16&60626134&31.58
axial_seamount_unpublished_marker113_18&12464153&26.02
axial_seamount_unpublished_marker33_17&4527451&29.06
axial_seamount_unpublished_marshmallow_19&9083976&33.39
axial_seamount_unpublished_n3_20&3094982&27.79
cayman_rise_unpublished_beebe_21&74561894&23.6
cayman_rise_unpublished_beebe_background_22&72858762&23.96
cayman_rise_unpublished_von_damm_2041_23&87467549&30.5
cayman_rise_unpublished_von_damm_2238_24&59007119&30.12
lanzen_trollveggen_25&94058&20.34
lesniewski_guaymas_basin_GD1_26&137514&23.26
lesniewski_guaymas_basin_GD2_27&184458&29.34
nakai_fryer_28&27285&9.97
perner_sisters_peak_29&53557&6.18
stokke_lokis_castle_30&247258&26.85
tang_kueishantao_G1_31&103909&29.67
tang_kueishantao_G2_32&187017&41.39
xie_4143-1_33&105233&27.71
