vent,sequences_raw,sequences_preprocessed,avg_length_raw,avg_length_preprocessed,total_length_raw,total_length_preprocessed
nakai_fryer_28,323700,273586,249.85,169.2,80876939,46291452
TARA_085_DCM_-0.22_35,88740736,67907716,94.405,95.935,8377454599,6514682867
TARA_085_DCM_-0.22_35,88740736,67907716,94.405,95.935,8377454599,6514682867
TARA_122_DCM_0.1-0.22_38,5439488,5201124,99.68,99.17500000000001,542199290,515825677
TARA_038_MES_0.1-0.22_36,157533556,146925858,101.0,98.24000000000001,15910889156,14434037149
TARA_048_SRF_0.1-0.22_37,181335640,172225906,101.0,98.255,18314899640,16921940587
TARA_023_SRF_0.22-1.6_40,149566010,144680304,105.8925,104.9175,15838031459,15179899473
