0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,3
11,4
12,3
13,105
14,156
15,244
16,452
17,1058
18,580
19,727
20,639
21,514
22,548
23,971
24,697
25,1103
26,322
27,726
28,1531
29,920
30,2853
31,954
32,102
33,145
34,14
35,52
36,71
37,27
38,20
39,89
40,62
41,23
42,90
43,73
44,43
45,83
46,21
47,24
48,15
49,25
50,151
51,83
52,61
53,255
54,62
55,64
56,51
57,226
58,30
59,4
60,6
61,56
62,4
63,0
64,0
65,3
66,24
67,4
68,7
69,12
70,93
71,56
72,3
73,4
74,2
75,51
76,75
77,28
78,3
79,16
80,3
81,8
82,16
83,32
84,4
85,25
86,15
87,150
88,25
89,54
90,56
91,90
92,48
93,67
94,107
95,55
96,45
97,161
98,460
99,1611
100,3406 
