taxon,frequency
PF00497,12362
PF03102,12353
PF01916,12323
PF01970,12275
PF03328,12265
PF02219,12241
PF04898,12233
PF01729,12213
PF02543,12180
PF01225,12173
PF01209,12166
PF03116,12162
PF00919,12155
PF02412,12138
PF07728,12123
PF03702,12101
PF12002,12093
PF01747,12060
PF00926,12054
PF01037,12031
PF00572,11995
PF13860,11989
PF01336,11979
PF14492,11964
PF00226,11960
PF01488,11957
PF03740,11956
PF00127,11902
PF07556,11868
PF00365,11861
PF00211,11851
PF02668,11844
PF04127,11812
PF04563,11806
PF03462,11776
PF02683,11765
PF01678,11761
PF01694,11730
PF05362,11718
PF00085,11693
PF01512,11676
PF01351,11671
PF10150,11599
PF00881,11569
PF07676,11566
PF00771,11488
PF02826,11474
PF01450,11414
PF12705,11414
PF00300,11413
PF04166,11410
PF00436,11399
PF01795,11312
PF01171,11259
PF01268,11247
PF00032,11202
PF02562,11190
PF00119,11164
PF00574,11134
PF00725,11123
PF02492,11105
PF03237,11098
PF02091,11095
PF00406,11084
PF00593,11052
PF03308,11050
PF01235,11042
PF02350,10982
PF02504,10978
PF02739,10968
PF00318,10967
PF02800,10944
PF04726,10935
PF00215,10910
PF01588,10908
PF13385,10893
PF01653,10885
PF01636,10813
PF03764,10739
PF00204,10726
PF01765,10708
PF14572,10704
PF00654,10672
PF08669,10651
PF00583,10633
PF05958,10598
PF01725,10594
PF00044,10567
PF12706,10552
PF07994,10532
PF13306,10505
PF02096,10496
PF13406,10459
PF02606,10432
PF06508,10431
PF00011,10427
PF01175,10392
PF00075,10365
PF01497,10352
PF13603,10338
PF13276,10333
PF02142,10323
PF01967,10309
PF00420,10303
PF00984,10288
PF00183,10262
PF03483,10256
PF08241,10252
PF03725,10249
PF00224,10241
PF13589,10223
PF12695,10202
PF00278,10184
PF01761,10161
PF03952,10160
PF00252,10160
PF00675,10150
PF00939,10144
PF00563,10134
PF13662,10104
PF02581,10100
PF00175,10084
PF00375,10082
PF00742,10065
PF01507,10037
PF01842,10025
PF00817,10002
PF01116,9998
PF02874,9990
PF00691,9938
PF07991,9864
PF13646,9862
PF08543,9862
PF01641,9851
PF02569,9841
PF06439,9836
PF13537,9829
PF02965,9765
PF01230,9755
PF03950,9750
PF00988,9738
PF01327,9728
PF13792,9711
PF13847,9674
PF00762,9624
PF00177,9615
PF05193,9572
PF02621,9565
PF13793,9494
PF03143,9494
PF00923,9485
PF00164,9476
PF00438,9470
PF02673,9466
PF02568,9460
PF00136,9453
PF00398,9450
PF09335,9445
PF00308,9417
PF02254,9394
PF02770,9377
PF00342,9374
PF01975,9358
PF03099,9343
PF10431,9311
PF00763,9306
PF01227,9264
PF03949,9250
PF01883,9246
PF00116,9237
PF07977,9214
PF01634,9209
PF02572,9187
PF01464,9167
PF02277,9164
PF10609,9162
PF01274,9150
PF07670,9138
PF00231,9094
PF00218,9086
PF01865,9081
PF02511,9056
PF02629,9054
PF02785,9042
PF00091,9039
PF08502,9035
PF02746,9031
PF08282,9027
PF04389,9014
PF00368,8999
PF01746,8989
PF05222,8982
PF00561,8967
PF00687,8963
PF01568,8949
PF01256,8941
PF01553,8937
PF01969,8931
PF02601,8921
PF01933,8907
PF00482,8877
PF03190,8814
PF01075,8810
PF01715,8762
PF02637,8759
PF13580,8739
PF00623,8722
PF02222,8707
PF01594,8691
PF00015,8678
PF00903,8670
PF02223,8668
PF13465,8650
PF00724,8632
PF00380,8598
PF07516,8597
PF13328,8566
PF13238,8562
PF01212,8551
PF00221,8550
PF05199,8506
PF13541,8492
PF01592,8466
PF02397,8463
PF07478,8451
PF13088,8410
PF01479,8409
PF01728,8394
PF05681,8383
PF01042,8379
PF01416,8363
PF00041,8341
PF13701,8299
PF08497,8292
PF14520,8283
PF01368,8277
PF03060,8205
PF02670,8205
PF01027,8119
PF08459,8106
PF00209,8083
PF13378,8068
PF02153,8060
PF12831,8050
PF02666,8004
PF00239,7973
PF00486,7965
PF03486,7963
PF12974,7960
PF00800,7958
PF01148,7952
PF00958,7938
PF00067,7913
PF00970,7906
PF00411,7891
PF01018,7882
PF00475,7846
PF12710,7844
PF02545,7818
PF02660,7793
PF01554,7766
PF13380,7762
PF02424,7761
PF04069,7760
PF00480,7754
PF00677,7746
PF01872,7739
PF12681,7734
PF03460,7725
PF03435,7724
PF14691,7716
PF00353,7671
PF01521,7656
PF00692,7655
PF02646,7651
PF00416,7650
PF00717,7621
PF00912,7608
PF00596,7597
PF08443,7593
PF00487,7591
PF02272,7587
PF03947,7572
PF04452,7571
PF04262,7567
PF00885,7537
PF02542,7536
PF13481,7529
PF04204,7527
PF03331,7516
PF09754,7506
PF00662,7501
PF14833,7486
PF07479,7482
PF02684,7465
PF03972,7462
PF01996,7457
PF02812,7455
PF00925,7424
PF06026,7421
PF00710,7420
PF00370,7417
PF11794,7415
PF07586,7372
PF01556,7372
PF01988,7368
PF01595,7344
PF04466,7344
PF07859,7301
PF00857,7296
PF02516,7275
PF01177,7259
PF06421,7225
PF00297,7210
PF01078,7187
PF03477,7173
PF00543,7167
PF01070,7164
PF02464,7157
PF01367,7152
PF08436,7138
PF00408,7136
PF03641,7136
PF03062,7131
PF13343,7127
PF03720,7116
PF02978,7115
PF02481,7112
PF13386,7110
PF04321,7105
PF07731,7097
PF13685,7077
PF03109,7068
PF00842,7061
PF01921,7045
PF01558,7040
PF01743,7039
PF01195,7034
PF10996,7014
PF01128,7008
PF00768,7002
PF05670,7001
PF08450,6999
PF05175,6990
PF05201,6973
PF01597,6965
PF01436,6960
PF03453,6960
PF01127,6954
PF00507,6940
PF00329,6939
PF13085,6929
PF04545,6926
PF10977,6915
PF14748,6910
PF13641,6864
PF00216,6859
PF01515,6850
PF08534,6844
PF08423,6837
PF01244,6825
PF01522,6798
PF01032,6786
PF01950,6765
PF03447,6763
PF12848,6760
PF03746,6760
PF02843,6725
PF00316,6693
PF02824,6688
PF00013,6674
PF00493,6666
PF14306,6659
PF01496,6632
PF00128,6621
PF00288,6605
PF01321,6583
PF01884,6580
PF07973,6569
PF01888,6568
PF13187,6560
PF00697,6538
PF00889,6504
PF07685,6498
PF05173,6467
PF01541,6465
PF01596,6437
PF01875,6419
PF03186,6411
PF01315,6378
PF04886,6335
PF01965,6334
PF01878,6327
PF01343,6321
PF01924,6307
PF01451,6306
PF13394,6298
PF03255,6283
PF02782,6279
PF03241,6277
PF08003,6273
PF01784,6263
PF01189,6262
PF13416,6244
PF04560,6232
PF02615,6225
PF00186,6202
PF01509,6184
PF00828,6182
PF12283,6096
PF01895,6096
PF01797,6091
PF01218,6081
PF01288,6067
PF00463,6064
PF12942,6045
PF00263,6042
PF10604,6039
PF00850,6036
PF03772,6033
PF05378,6006
PF02146,6003
PF13472,5990
PF01799,5978
PF03734,5977
PF00338,5954
PF00550,5953
PF01012,5951
PF00625,5951
PF09084,5912
PF00246,5901
PF14312,5898
PF02006,5889
PF05683,5883
PF01663,5865
PF05746,5862
PF01059,5862
PF01475,5860
PF01257,5854
PF02129,5850
PF03853,5845
PF02618,5832
PF05345,5831
PF01193,5818
PF13237,5798
PF02580,5794
PF01583,5794
PF13672,5771
PF13549,5767
PF01220,5760
PF02195,5753
PF02390,5744
PF00391,5742
PF00274,5736
PF02872,5728
PF02787,5714
PF02472,5709
PF02321,5706
PF02897,5692
PF02635,5689
PF01474,5682
PF00449,5680
PF13203,5669
PF12127,5667
PF03092,5649
PF01025,5634
PF01680,5611
PF00415,5600
PF00390,5577
PF01569,5575
PF01420,5572
PF13738,5561
PF13426,5536
PF02626,5528
PF01695,5526
PF00001,5522
PF03951,5520
PF00083,5505
PF13510,5500
PF04983,5495
PF01909,5493
PF03717,5490
PF07228,5487
PF01035,5475
PF01144,5469
PF01520,5436
PF04290,5429
PF05000,5406
PF00174,5398
PF01028,5390
PF04101,5382
PF01894,5370
PF02075,5369
PF00908,5369
PF14602,5354
PF13948,5332
PF02554,5325
PF01243,5299
PF13288,5296
PF01472,5278
PF13597,5276
PF00334,5253
PF02881,5249
PF03653,5243
PF00166,5236
PF02954,5223
PF00669,5217
PF00485,5217
PF13417,5216
PF03050,5216
PF06253,5202
PF07883,5191
PF13462,5180
PF01050,5158
PF01738,5140
PF03033,5139
PF02245,5124
PF01280,5115
PF00210,5113
PF01188,5111
PF02436,5098
PF11987,5088
PF04607,5086
PF05853,5081
PF02654,5069
PF13659,5059
PF02955,5058
PF00238,5054
PF12847,5054
PF03061,5054
PF02575,5051
PF13307,5048
PF06463,5046
PF03120,5037
PF00089,5035
PF06965,5031
PF10396,5024
PF02559,5023
PF13607,5002
PF07963,5002
PF01769,4959
PF02844,4952
PF01312,4950
PF07221,4950
PF11799,4936
PF01946,4933
PF13175,4933
PF04539,4930
PF02570,4921
PF02578,4913
PF02502,4906
PF13191,4897
PF01245,4888
PF02535,4888
PF01959,4853
PF09835,4849
PF00313,4849
PF13460,4846
PF01112,4843
PF01103,4839
PF02367,4837
PF00453,4818
PF08541,4817
PF00352,4800
PF03401,4794
PF13594,4791
PF13795,4786
PF02636,4782
PF02597,4768
PF01804,4764
PF03652,4758
PF03629,4747
PF01252,4746
PF00484,4736
PF00986,4733
PF03706,4723
PF08309,4722
PF02167,4712
PF00016,4686
PF11617,4680
PF01510,4659
PF14450,4659
PF13540,4654
PF06968,4644
PF04715,4641
PF06283,4640
PF01839,4627
PF01136,4616
PF08545,4610
PF01154,4599
PF00668,4591
PF00317,4591
PF00538,4582
PF06245,4581
PF00672,4578
PF02261,4575
PF00573,4567
PF04295,4564
PF00028,4563
PF03009,4553
PF01476,4548
PF13500,4524
PF06325,4517
PF01242,4512
PF03553,4505
PF01654,4496
PF07650,4485
PF03104,4485
PF04358,4450
PF03807,4444
PF00684,4435
PF02678,4433
PF02074,4431
PF03739,4426
PF09397,4415
PF07244,4415
PF06181,4411
PF03588,4401
PF13450,4394
PF00520,4377
PF01593,4371
PF00848,4363
PF00962,4358
PF09843,4351
PF01575,4350
PF04413,4342
PF01016,4340
PF07431,4339
PF02630,4339
PF00719,4338
PF00125,4336
PF00126,4336
PF01949,4325
PF05593,4311
PF02405,4290
PF02433,4288
PF01029,4286
PF05192,4285
PF04879,4274
PF08501,4266
PF11700,4261
PF06973,4258
PF03358,4257
PF09423,4254
PF01619,4254
PF01106,4232
PF00941,4232
PF01142,4230
PF13353,4229
PF00282,4229
PF03471,4226
PF02566,4217
PF04123,4214
PF02190,4191
PF07679,4180
PF07075,4178
PF13229,4176
PF02224,4172
PF06071,4170
PF13551,4161
PF02633,4154
PF04073,4152
PF12327,4152
PF02086,4140
PF02475,4137
PF01202,4131
PF12849,4124
PF03193,4122
PF01866,4121
PF05960,4115
PF01297,4114
PF03309,4113
PF00033,4108
PF02080,4084
PF00829,4082
PF00656,4078
PF01381,4071
PF03279,4061
PF04565,4061
PF09424,4058
PF13525,4044
PF02919,4035
PF13401,4029
PF01740,4026
PF12762,4022
PF05237,4003
PF05833,4002
PF00163,3995
PF01544,3993
PF01564,3990
PF03150,3983
PF00861,3972
PF01121,3959
PF01687,3954
PF02151,3952
PF04116,3947
PF05990,3945
PF00700,3938
PF00343,3920
PF06745,3917
PF02677,3916
PF03960,3916
PF07627,3907
PF01882,3906
PF00813,3905
PF00827,3903
PF01502,3894
PF03719,3885
PF02690,3882
PF02861,3876
PF01918,3866
PF02391,3865
PF01174,3862
PF04209,3859
PF00565,3859
PF01812,3855
PF06434,3844
PF14622,3844
PF08530,3841
PF04414,3839
PF03169,3831
PF02527,3824
PF02517,3821
PF04313,3819
PF02602,3789
PF00347,3770
PF08761,3749
PF02607,3744
PF01329,3727
PF05876,3724
PF05598,3720
PF14849,3714
PF01655,3694
PF01810,3690
PF02911,3687
PF01624,3674
PF12344,3673
PF08281,3666
PF14720,3663
PF14579,3660
PF00854,3648
PF02133,3645
PF03883,3631
PF04339,3630
PF14693,3628
PF08544,3622
PF01757,3616
PF08811,3612
PF06429,3608
PF09490,3604
PF02353,3592
PF02416,3573
PF08335,3546
PF02639,3542
PF05138,3540
PF04079,3534
PF01210,3522
PF01323,3519
PF12161,3515
PF14697,3513
PF13090,3513
PF02649,3499
PF13475,3498
PF00410,3491
PF01269,3487
PF13368,3480
PF00027,3475
PF02585,3466
PF00312,3463
PF01871,3456
PF13382,3455
PF01192,3444
PF13277,3443
PF13535,3441
PF03976,3440
PF09603,3429
PF03819,3422
PF02885,3422
PF12846,3420
PF00189,3408
PF01758,3398
PF13585,3394
PF01113,3392
PF13840,3390
PF01841,3388
PF02537,3386
PF03449,3385
PF00766,3378
PF02586,3373
PF10531,3373
PF00403,3370
PF03747,3369
PF01844,3367
PF13407,3362
PF00585,3356
PF08540,3352
PF01820,3350
PF14947,3344
PF05491,3333
PF08275,3333
PF07497,3332
PF14342,3325
PF01938,3324
PF13528,3317
PF04371,3315
PF01613,3312
PF09285,3311
PF04085,3309
PF06574,3307
PF02742,3306
PF00430,3306
PF00394,3303
PF04471,3303
PF13091,3290
PF03841,3281
PF07596,3280
PF12637,3278
PF02900,3275
PF02682,3270
PF11940,3269
PF02239,3267
PF02421,3267
PF06189,3263
PF01396,3260
PF03069,3253
PF13941,3249
PF01176,3248
PF00196,3246
PF13184,3244
PF02817,3241
PF13616,3212
PF01734,3205
PF12730,3200
PF02665,3199
PF00076,3198
PF04404,3195
PF12698,3187
PF01423,3187
PF09239,3170
PF08704,3162
PF02608,3161
PF00833,3155
PF02119,3139
PF04104,3137
PF01087,3133
PF00462,3129
PF01272,3128
PF13098,3127
PF07044,3120
PF13499,3115
PF04820,3112
PF07635,3100
PF13439,3096
PF00498,3095
PF01948,3085
PF00298,3085
PF13710,3074
PF03602,3070
PF02643,3069
PF08535,3065
PF04205,3062
PF00333,3053
PF03352,3047
PF03900,3039
PF01783,3039
PF10282,3034
PF13231,3032
PF01314,3032
PF13379,3025
PF00707,3017
PF13950,3015
PF07521,3012
PF13534,3008
PF01807,3005
PF08207,3002
PF02403,3002
PF01850,2990
PF13932,2988
PF06080,2983
PF11071,2974
PF03625,2970
PF01722,2967
PF13241,2964
PF02410,2962
PF13754,2961
PF02777,2960
PF12840,2956
PF00311,2950
PF02873,2947
PF01923,2943
PF01196,2943
PF10672,2943
PF13516,2940
PF07645,2937
PF04186,2936
PF01161,2933
PF04362,2933
PF05343,2932
PF03485,2930
PF13485,2929
PF04379,2927
PF05977,2927
PF05198,2927
PF04333,2926
PF12769,2925
PF08298,2920
PF04305,2908
PF12801,2891
PF04199,2879
PF04011,2876
PF02589,2875
PF02577,2873
PF14698,2869
PF06750,2866
PF00137,2858
PF12169,2836
PF13411,2835
PF01862,2830
PF01936,2830
PF00772,2821
PF08299,2815
PF13433,2810
PF01863,2805
PF01610,2805
PF03379,2805
PF01547,2801
PF01648,2793
PF01263,2793
PF04552,2783
PF02823,2782
PF13660,2776
PF06849,2774
PF03070,2772
PF13640,2769
PF08529,2768
PF02130,2767
PF04143,2761
PF00582,2761
PF04107,2752
PF00237,2749
PF01471,2744
PF00135,2741
PF00081,2736
PF01197,2733
PF00070,2729
PF12631,2724
PF01156,2722
PF13167,2718
PF03880,2718
PF00181,2716
PF13844,2707
PF05088,2705
PF06545,2705
PF04828,2702
PF13302,2702
PF03737,2694
PF01503,2694
PF13746,2687
PF00932,2681
PF00008,2680
PF07885,2672
PF02073,2669
PF00533,2666
PF11412,2660
PF07631,2648
PF08328,2647
PF03461,2643
PF09967,2641
PF13412,2639
PF08271,2639
PF13483,2633
PF01668,2630
PF01325,2628
PF01902,2627
PF03631,2624
PF04608,2624
PF03484,2617
PF00708,2614
PF01385,2609
PF00871,2607
PF01649,2606
PF14681,2605
PF01132,2603
PF03463,2595
PF05099,2594
PF00782,2588
PF13669,2587
PF02616,2585
PF00529,2582
PF00775,2581
PF02899,2580
PF04279,2576
PF00756,2576
PF00043,2575
PF01869,2570
PF12833,2569
PF01809,2559
PF02082,2557
PF13086,2554
PF03773,2549
PF01983,2546
PF01253,2545
PF00867,2545
PF13173,2540
PF04894,2538
PF05992,2536
PF11838,2527
PF00324,2526
PF03439,2526
PF03948,2511
PF01198,2502
PF00627,2499
PF03320,2491
PF02152,2489
PF01813,2487
PF13340,2487
PF00071,2486
PF10588,2484
PF09721,2480
PF01548,2479
PF02767,2478
PF14588,2476
PF01981,2471
PF02590,2467
PF07837,2466
PF13720,2461
PF03063,2457
PF00140,2457
PF09996,2457
PF02887,2439
PF00096,2437
PF02274,2434
PF02127,2432
PF10592,2429
PF00595,2426
PF00685,2424
PF13579,2423
PF06762,2418
PF11760,2416
PF02359,2416
PF03692,2414
PF03051,2412
PF06739,2408
PF13604,2404
PF01973,2403
PF02836,2402
PF10589,2402
PF03118,2400
PF00440,2400
PF02381,2395
PF00670,2394
PF13347,2393
PF01206,2393
PF02028,2393
PF00466,2389
PF04744,2387
PF13742,2380
PF13531,2379
PF13249,2378
PF00930,2374
PF09820,2372
PF10369,2372
PF01896,2364
PF02661,2361
PF03946,2360
PF03576,2357
PF03601,2357
PF01248,2352
PF05935,2352
PF02634,2348
PF08007,2346
PF00699,2345
PF05425,2342
PF01478,2341
PF00547,2341
PF01935,2340
PF03458,2337
PF07603,2336
PF07722,2330
PF00265,2327
PF03349,2320
PF05544,2310
PF06155,2309
PF02357,2308
PF01281,2301
PF00203,2300
PF13207,2298
PF03710,2295
PF02749,2294
PF13715,2293
PF04546,2293
PF04367,2293
PF04231,2285
PF08438,2284
PF00745,2284
PF04093,2280
PF01068,2275
PF02915,2275
PF04760,2274
PF09940,2268
PF10397,2268
PF00743,2268
PF04458,2262
PF01632,2259
PF01584,2253
PF03649,2248
PF02700,2246
PF14574,2246
PF02423,2245
PF01250,2237
PF07549,2234
PF00467,2233
PF02371,2232
PF01090,2231
PF12770,2227
PF02541,2224
PF01120,2221
PF02747,2220
PF08548,2218
PF01258,2217
PF11791,2212
PF01386,2205
PF04361,2205
PF05043,2203
PF05684,2203
PF12139,2198
PF02005,2197
PF01149,2195
PF00392,2193
PF00393,2188
PF06228,2181
PF01944,2180
PF04952,2179
PF03465,2176
PF13242,2176
PF09347,2164
PF13602,2161
PF13205,2158
PF03833,2156
PF02699,2149
PF12911,2148
PF05698,2146
PF03450,2142
PF01774,2138
PF07662,2135
PF01157,2134
PF04461,2133
PF00276,2133
PF00542,2130
PF14714,2130
PF03160,2127
PF04472,2126
PF13484,2116
PF13478,2116
PF09377,2115
PF01661,2114
PF01817,2111
PF12679,2109
PF13375,2105
PF03561,2101
PF05050,2092
PF02113,2091
PF01832,2087
PF05685,2082
PF00413,2081
PF03741,2080
PF13435,2078
PF00673,2072
PF00886,2071
PF05970,2070
PF03171,2065
PF01092,2064
PF03825,2062
PF03658,2056
PF00037,2055
PF00877,2054
PF13087,2046
PF12228,2045
PF00090,2042
PF04324,2038
PF08757,2035
PF00935,2031
PF05572,2027
PF04734,2022
PF00150,2021
PF00366,2021
PF14489,2020
PF05299,2003
PF02322,1999
PF03330,1995
PF03881,1993
PF10502,1979
PF13538,1974
PF02617,1970
PF08029,1968
PF00830,1956
PF01730,1954
PF13356,1953
PF05697,1950
PF01084,1935
PF14464,1927
PF01920,1924
PF01941,1923
PF02576,1923
PF01989,1921
PF04014,1917
PF00705,1916
PF06831,1916
PF13469,1916
PF05656,1916
PF10458,1912
PF00722,1910
PF02926,1908
PF08439,1907
PF00153,1907
PF13727,1888
PF13899,1887
PF12399,1879
PF13335,1878
PF12900,1878
PF01912,1875
PF08489,1873
PF02558,1873
PF03831,1871
PF00639,1864
PF01903,1860
PF04919,1854
PF11611,1850
PF02951,1849
PF02627,1849
PF01119,1848
PF00092,1839
PF10417,1836
PF09190,1834
PF02790,1833
PF02514,1832
PF03663,1830
PF02021,1830
PF07755,1818
PF01182,1817
PF01906,1812
PF04442,1811
PF06733,1810
PF10415,1809
PF06144,1807
PF03091,1804
PF09341,1803
PF13476,1797
PF05165,1795
PF03006,1792
PF01943,1791
PF03507,1787
PF05916,1785
PF04095,1780
PF00754,1779
PF13492,1779
PF01430,1774
PF08267,1772
PF08666,1772
PF04002,1772
PF07068,1771
PF08411,1768
PF14870,1765
PF01339,1764
PF04986,1763
PF01455,1762
PF07503,1762
PF04963,1761
PF01798,1761
PF08755,1758
PF01052,1751
PF02457,1748
PF03575,1747
PF13565,1745
PF00035,1744
PF03979,1738
PF00468,1735
PF03100,1733
PF09997,1733
PF05402,1731
PF07364,1728
PF00821,1727
PF02230,1724
PF05724,1721
PF13610,1718
PF01713,1715
PF14805,1714
PF05866,1713
PF04345,1712
PF06250,1708
PF13586,1707
PF00825,1705
PF00712,1705
PF02148,1701
PF05161,1701
PF01814,1695
PF14815,1684
PF04984,1683
PF02378,1681
PF07287,1678
PF07592,1675
PF04007,1674
PF12627,1670
PF08546,1666
PF08542,1664
PF02033,1663
PF03840,1658
PF00225,1658
PF03136,1657
PF09360,1655
PF01956,1648
PF00147,1647
PF13359,1646
PF08676,1645
PF02622,1644
PF01487,1641
PF03592,1637
PF02325,1637
