pfam	count
PF01118	280523
PF02417	302801
PF02508	307448
PF13292	278941
PF13519	305505
PF02547	341424
PF01790	242774
PF00805	147752
PF01612	333191
PF04898	297279
PF13442	327025
PF02880	274724
PF01300	280483
PF00111	293107
PF00572	204279
PF01865	257777
PF00926	268992
PF02091	284130
PF01450	216225
PF01496	222744
PF13365	183385
PF04542	271402
PF01209	313148
PF01037	207551
PF01555	262002
PF01512	298857
PF05362	271376
PF01168	308721
PF00899	223165
PF02277	165507
PF01618	244036
PF00365	282899
PF00654	272912
PF01336	251212
PF13614	207922
PF01970	209790
PF02543	201256
PF07556	175784
PF00881	280605
PF00145	195432
PF00860	269582
PF05958	307794
PF03740	249860
PF10150	294124
PF00497	373643
PF04726	78316
PF03102	264884
PF01268	218107
PF01255	249636
PF00032	183382
PF02683	243559
PF00318	258500
PF03116	262939
PF12695	244521
PF03462	216538
PF00085	321927
PF02879	231021
PF00436	208195
PF04166	237628
PF00675	280175
PF02562	272595
PF01507	167003
PF02504	294121
PF03572	235645
PF00919	197023
PF00136	181732
PF02516	155793
PF00698	259608
PF12002	202496
PF01678	241919
PF06439	86460
PF01968	122744
PF02621	125202
PF00070	270629
PF00406	283776
PF04127	193993
PF01175	159555
PF06508	225341
PF03308	163019
PF02511	200653
PF14492	221318
PF07715	450804
PF01171	316063
PF01497	160326
PF03764	188569
PF07586	60179
PF00176	189878
PF05833	175600
PF00725	239932
PF00175	254233
PF01729	207318
PF01116	256583
PF02965	261440
PF02737	252797
PF09754	159634
PF00939	142232
PF00252	180306
PF01488	234817
PF12706	282711
PF00183	284138
PF00512	331138
PF00215	232886
PF13353	193661
PF02492	159570
PF02739	218411
PF00278	221442
PF01653	213155
PF00574	207930
PF02568	181629
PF00762	273142
PF01225	229669
PF00204	284740
PF03989	238204
PF01594	263462
PF02800	217902
PF00300	214241
PF01274	241944
PF03950	241415
PF07991	197618
PF02572	177706
PF01765	189999
PF13860	132728
PF00044	224980
PF01641	192564
PF01761	238650
PF02626	263915
PF02771	266973
PF00119	223145
PF00742	209592
PF13088	144971
PF05193	283968
PF07516	235211
PF01725	237548
PF03483	193184
PF00308	312016
PF13793	184553
PF13589	194817
PF02096	229224
PF03143	194708
PF03190	194493
PF00177	177758
PF00771	142038
PF12710	336353
PF01795	254900
PF00144	225206
PF13424	111543
PF01933	132149
PF00984	194177
PF03702	278695
PF01588	207764
PF13237	179290
PF01634	188604
PF02581	246778
PF02606	215362
PF00561	247262
PF00075	169150
PF00164	163601
PF00368	206576
PF00988	172945
PF02222	208758
PF00903	219798
PF13603	195984
PF01235	185520
PF08669	214625
PF02350	199765
PF01351	213210
PF13238	146856
PF00923	164424
PF00763	166566
PF01230	226818
PF01842	209706
PF05681	223856
PF12799	90698
PF01227	162716
PF00623	187910
PF03952	173278
PF00226	200047
PF00211	175847
PF13358	102812
PF00702	215972
PF01969	133284
PF02646	259280
PF00438	148449
PF04204	306756
PF02142	210611
PF00116	186273
PF01568	147451
PF01694	150908
PF08352	140782
PF02254	290183
PF01636	278538
PF00224	238827
PF13386	199565
PF09335	250755
PF01746	208434
PF08502	172834
PF01883	127463
PF02785	201274
PF04069	170329
PF03725	165618
PF02637	178396
PF13662	199878
PF12974	153893
PF13753	178890
PF02153	217774
PF01127	138231
PF02569	193354
PF00380	175395
PF13573	34065
PF00231	237883
PF08282	206403
PF00817	195190
PF02874	164429
PF03486	269156
PF00687	199723
PF13175	146631
PF00342	223567
PF01592	165810
PF04466	118495
PF01921	145856
PF00091	135761
PF08543	180495
PF13276	155110
PF04262	254590
PF03739	321689
PF14572	155745
PF02223	190311
PF01075	181031
PF13180	153719
PF01464	240158
PF07977	227254
PF03972	138688
PF01177	184450
PF01975	183498
PF00970	234704
PF08443	157620
PF00487	131346
PF10609	124627
PF00375	176154
PF08497	190767
PF13378	101112
PF00475	181772
PF13343	163200
PF07670	132984
PF14691	188039
PF03460	182656
PF03949	226130
PF07478	221357
PF00221	157218
PF00218	217186
PF01967	129834
PF12831	81842
PF13580	171862
PF07731	172169
PF00800	190119
PF13416	237636
PF11794	115600
PF03466	533763
PF01996	119385
PF02673	207287
PF01988	124238
PF00482	133169
PF13203	173309
PF10431	199150
PF03947	152685
PF05670	108278
PF13328	189769
PF01212	93830
PF00011	121629
PF14833	152669
PF13685	105052
PF01715	227142
PF12681	174440
PF03060	155902
PF01321	171092
PF01950	115688
PF10996	114822
PF02601	187197
PF03435	121664
PF00724	261639
PF00416	137848
PF01521	269412
PF00420	146739
PF05199	127661
PF01327	173721
PF13187	118796
PF13541	170475
PF05222	166152
PF13085	134276
PF02812	128777
PF01368	171248
PF00925	166778
PF10977	190594
PF03772	109756
PF01148	172745
PF00958	141212
PF06026	190579
PF03099	188247
PF08534	180707
PF02397	189703
PF00990	448590
PF03746	204477
PF00398	219370
PF08241	184785
PF10604	134611
PF08003	220203
PF01027	153997
PF00710	185102
PF13380	115724
PF13792	130879
PF00596	168224
PF02629	141392
PF02684	243569
PF02666	214019
PF01391	59130
PF01872	167529
PF12283	50902
PF00885	168495
PF00411	138341
PF02770	170133
PF14306	160379
PF00297	184116
PF00912	191704
PF01553	194578
PF00593	797332
PF03447	144533
PF03092	122482
PF01728	170067
PF01558	132058
PF01597	143851
PF01888	101658
PF00493	109729
PF01256	136932
PF00209	153978
PF01544	137130
PF01416	195465
PF08423	98876
PF08459	154734
PF02493	113164
PF00408	150006
PF13306	40158
PF04389	162467
PF00857	114817
PF00768	198827
PF00400	58960
PF03631	194785
PF13537	138412
PF03186	118349
PF02542	166412
PF07221	164189
PF09843	82821
PF03331	198191
PF01924	137626
PF00543	147702
PF03641	147462
PF08450	66886
PF03241	94836
PF01554	211570
PF00717	179817
PF01078	140471
PF02897	164682
PF01244	134316
PF01367	127587
PF00329	134121
PF00316	199347
PF01965	136035
PF03717	214533
PF03109	141318
PF13481	135537
PF01218	194779
PF04560	112076
PF01515	183885
PF02129	77243
PF14520	153442
PF01070	137913
PF03062	122380
PF00692	102483
PF01028	86549
PF03706	123847
PF05173	136771
PF00463	147734
PF01884	102102
PF13641	161350
PF00583	197667
PF07479	134585
PF01018	139651
PF00128	301646
PF01257	171495
PF08436	121956
PF02635	227125
PF03255	151518
PF03477	161953
PF09084	138441
PF07685	140718
PF01680	82710
PF01878	83733
PF00691	157309
PF12848	142469
PF01596	107697
PF05201	133898
PF00480	107959
PF02670	107158
PF01797	89718
PF00486	170539
PF02872	165891
PF13098	258863
PF02481	135694
PF01479	145507
PF12942	68597
PF02746	72531
PF06283	41578
PF02978	118377
PF00484	115729
PF01059	120235
PF04452	169627
PF00507	129896
PF00677	148440
PF02570	87479
PF01784	184571
PF12847	122146
PF00370	127667
PF02824	140666
PF01743	174289
PF01042	165935
PF13597	109823
PF01193	134198
PF14748	118550
PF02146	90700
PF00828	130625
PF01474	137598
PF05175	222199
