pfam	count	tool
PF00005	955330	uproc
PF00155	448710	uproc
PF07992	393911	uproc
PF00528	388024	uproc
PF07690	384947	uproc
PF00171	382863	uproc
PF00501	369740	uproc
PF00133	358704	uproc
PF04055	357145	uproc
PF00009	349920	uproc
PF00005	710541	diamond
PF00155	406380	diamond
PF07992	341396	diamond
PF00528	311118	diamond
PF07690	129	diamond
PF00171	335433	diamond
PF00501	303642	diamond
PF00133	343301	diamond
PF04055	285161	diamond
PF00009	322610	diamond
