uproc,tara
1588,305
1583,184
1578,816
1574,3630
1574,148
1572,155
1549,237
1541,75
1541,132
1540,8
1538,107
1537,121
1536,212
1533,297
1529,189
1527,130
1524,98
1522,427
1519,592
1519,242
1518,273
1517,64
1515,246
1512,516
1512,203
1510,84
1507,222
1506,61
1502,208
1499,159
1497,249
1496,179
1493,86
1492,97
1484,101
1484,4511
1480,488
1480,305
1479,840
1478,303
1477,263
1477,815
1467,497
1464,2008
1464,173
1463,132
1459,115
1459,120
1457,121
1455,73
1454,224
1444,120
1436,105
1434,110
1433,279
1431,120
1429,93
1418,103
1417,121
1417,221
1410,339
1400,241
1398,129
1393,380
1392,131
1391,101
1389,126
1387,90
1386,183
1383,213
1383,132
1383,128
1380,82
1379,2
1375,71
1374,178
1374,130
1371,258
1371,346
1371,136
1363,97
1359,227
1358,157
1357,147
1357,665
1355,80
1350,248
1343,95
1342,147
1341,370
1340,1826
1340,112
1339,169
1332,294
1329,162
1328,100
1328,314
1328,152
1326,82
1325,171
1322,108
1320,153
1318,411
1317,148
1315,299
1314,81
1314,476
1313,284
1311,195
1309,135
1308,106
1307,102
1300,82
1296,101
1295,108
1292,100
1291,370
1290,363
1289,119
1288,180
1286,151
1285,1490
1284,2556
1283,66
1281,607
1279,163
1279,209
1278,89
1278,114
1267,767
1266,115
1260,143
1259,697
1256,1612
1253,99
1253,134
1253,138
1249,438
1247,189
1246,100
1245,819
1240,874
1240,402
1238,98
1236,116
1233,500
1232,137
1232,161
1230,253
1229,119
1220,98
1219,763
1216,207
1215,539
1203,2
1203,221
1197,160
1197,107
1193,298
1193,183
1192,107
1190,218
1190,141
1189,96
1189,120
1187,128
1187,220
1186,89
1184,38
1183,113
1182,101
1181,110
1181,127
1179,162
1177,314
1176,281
1174,491
1174,296
1173,86
1173,189
1172,83
1172,77
1171,243
1171,136
1171,81
1169,233
1169,158
1168,97
1166,182
1165,66
1165,385
1163,133
1162,139
1159,132
1158,117
1157,397
1154,55
1153,8
1152,156
1152,2017
1152,145
1151,227
1151,82
1149,131
1149,456
1148,120
1141,337
1139,447
1137,76
1136,89
1136,454
1134,161
1134,275
1133,346
1132,86
1131,241
1128,155
1125,90
1124,98
1124,87
1123,70
1119,83
1119,263
1118,95
1113,440
1111,135
1110,169
1108,118
1107,85
1107,64
1102,155
1097,249
1095,1719
1095,71
1094,231
1094,89
1089,199
1087,230
1086,118
1084,204
1079,84
1078,81
1077,233
1076,129
1069,106
1067,182
1066,91
1065,96
1063,380
1061,154
1060,152
1060,105
1059,355
1058,97
1058,156
1057,103
1056,88
1054,93
1051,73
1051,168
1047,251
1043,267
1042,1315
1040,65
1040,64
1032,58
1030,118
1028,93
1027,140
1025,79
1022,509
1020,8
1020,235
1020,101
1019,119
1019,167
1018,1112
1018,109
1017,165
1016,161
1015,74
1014,191
1013,96
1012,60
1011,8491
1011,53
1011,105
1009,286
1008,245
1006,620
1004,89
1002,1369
1000,62
996,274
995,60
995,123
995,63
993,90
989,2236
988,189
987,141
984,235
984,887
983,2735
983,63
983,170
979,60
979,229
975,135
974,1054
974,191
973,1066
971,155
969,135
964,143
962,15
962,274
961,124
958,173
958,255
957,205
957,257
956,4
955,117
955,326
954,110
954,163
952,105
949,6
945,47
944,313
944,163
943,152
942,113
940,212
939,51
938,98
936,266
935,38
934,12
933,10
932,197
932,216
930,991
929,102
929,191
927,61
927,300
927,100
924,254
924,151
924,283
923,361
923,220
923,93
922,121
921,8
921,50
920,50
919,480
917,94
911,87
910,174
909,96
907,60
906,426
905,70
904,107
902,56
901,277
901,551
900,126
900,197
899,97
897,37
895,3
889,83
889,314
889,93
888,257
888,89
888,117
888,486
886,380
885,176
885,55
882,127
882,3233
881,73
881,262
878,297
877,211
876,20
876,493
873,103
872,571
870,154
868,65
868,168
867,380
867,209
865,235
865,152
865,157
864,2
862,5
862,124
861,144
858,193
857,221
856,104
853,108
851,52
849,366
849,111
848,368
848,65
848,5843
847,114
847,112
847,34
847,99
846,50
845,81
844,212
844,100
843,196
843,61
841,261
840,142
838,182
837,109
835,165
833,87
833,82
832,126
832,155
831,136
826,206
825,160
824,100
822,530
821,181
821,76
821,4
820,90
818,162
818,168
817,102
817,109
816,123
814,140
811,81
811,83
810,119
809,47
807,83
806,503
804,165
803,93
800,477
800,86
799,454
799,133
798,192
794,30
794,51
793,476
793,267
793,138
792,73
792,91
791,468
791,129
789,111
788,163
787,4
787,122
785,148
784,99
783,123
783,72
782,106
781,181
780,107
777,127
775,86
773,154
772,118
772,97
771,79
769,22
768,120
768,152
766,75
765,303
765,89
763,160
761,103
760,99
760,43
759,308
759,518
758,2
758,113
757,150
756,170
756,63
756,381
755,115
755,47
753,27
751,87
751,90
750,12
749,119
748,78
748,451
747,81
747,159
747,365
747,123
746,97
744,129
740,51
740,145
738,191
738,114
737,107
737,94
736,300
736,129
734,75
730,63
730,41
729,100
728,209
727,301
724,65
723,44
722,270
721,18
721,53
720,40
719,67
718,204
718,38
717,41
717,101
716,877
714,118
714,88
714,93
713,133
712,39
712,127
711,118
708,318
708,88
707,97
706,307
706,112
705,45
704,57
703,103
703,54
702,63
702,35
702,93
702,121
701,83
701,115
700,201
700,220
700,132
699,185
697,102
697,159
696,36
695,152
694,54
693,116
693,80
693,152
691,53
689,209
688,58
686,98
686,129
685,140
684,64
682,74
681,28
680,67
679,189
679,74
678,151
678,251
677,26
677,77
676,111
674,10
674,38
674,142
674,84
674,63
673,233
672,174
671,102
671,146
670,41
669,140
667,54
666,66
664,766
663,1
663,85
662,10
661,44
660,1
659,97
659,136
658,40
658,151
657,130
656,98
655,98
653,134
653,54
653,81
653,78
650,1
648,297
647,127
646,109
646,135
644,81
643,83
640,87
640,6770
635,209
635,83
635,89
634,202
633,49
632,43
632,127
631,357
630,324
629,140
629,156
628,42
627,231
626,128
625,80
622,102
622,192
622,50
621,257
621,192
621,90
621,129
620,94
618,134
618,102
615,141
