uproc,tara
24,3
24,28
24,4
24,4
24,23
24,4
24,12
24,19
24,4
24,2
24,37
24,2
24,14
23,181
23,2
23,6
23,17
23,18
23,18
23,3
23,8
23,38
23,4
23,3
23,6
23,2
23,2
23,2
22,3
22,13
22,12
22,1
22,10
22,23
22,27
22,1
22,1
22,1449
22,19
22,9
22,3
22,2
22,4
22,15
22,32
22,5
22,15
22,9
21,15
21,34
21,118
21,9
21,1526
21,1
21,11
21,84
21,53
21,1
21,64
21,2
21,21
21,2
21,8
21,2
20,6
20,3
20,6
20,4
20,3
20,2
20,28
20,2
20,4
20,1
20,7
20,3
20,76
20,1
20,50
19,24
19,11
19,1
19,36
19,46
19,3
19,16
19,15
19,4
19,1
19,3
19,3
18,15
18,16
18,3
18,1
18,1
18,1
18,2
18,1
18,2
18,2
18,8
18,1
18,8
18,2
18,2
17,2
17,1
17,1
17,3
17,10
17,28
17,5
17,4
17,3
17,16
16,1
16,19
16,1
16,4
16,1
16,34
16,122
16,5
16,44
16,13
16,38
16,172
16,16
16,3
16,1
16,263
16,13
15,6
15,9
15,1
15,2
15,1
15,1
15,2
15,30
15,6
15,4
14,2
14,4
14,232
14,12
14,18
14,3
14,11
14,2
14,1
14,2
14,2
13,1
13,1
13,3
13,1
13,1
13,4
13,24
13,4
13,1
13,23
13,2
13,7
13,7
13,4
13,6
13,5
13,18
13,2
12,4
12,9
12,4
12,9
12,10
12,4
12,6
12,7
12,1
12,2
12,51
12,20
12,1
12,10
12,42
12,2
12,1
11,103
11,3
11,4
11,52
11,1
11,8
11,11
11,1
11,36
11,1
11,12
11,3
11,3
11,113
10,3
10,2
10,3
10,3
10,1
10,1
10,4
10,161
10,1
10,3
10,1
10,2
10,1
10,30
10,44
9,10
9,3
9,4
9,4
9,4
9,1
9,1
9,3
9,43
9,1
9,3
9,4
9,11
9,1
9,1
9,1
9,1
8,1
8,11
8,3
8,1
8,510
8,15
8,1
8,1
8,2
8,3
8,2
8,8
8,1
8,2
8,1
8,2
8,6
7,10
7,3
7,2
7,1
7,2
7,30
7,38
7,1
7,2
7,120
7,1
7,2
7,14
7,1
7,4
7,4
7,1
7,1
7,3
6,1
6,2
6,2
6,5
6,1
6,19
6,6
6,1
6,3
6,1
6,1
6,6
6,2
6,3
6,23
6,2
6,1
6,3
6,4
6,3
6,1
6,137
6,2
6,4
6,1
6,13
6,4
6,4
6,1
6,32
5,1
5,2
5,1375
5,1
5,1
5,4
5,6
5,4
5,4
5,5
5,14
5,1
5,1
5,15
5,20
5,1
5,5
5,5
5,1
5,2
5,1
5,2
5,3
4,8
4,4
4,1
4,6
4,6
4,60
4,2
4,4
4,6
4,1
4,5
4,16
4,27
4,3
4,1
4,3
4,52
4,2
4,3
4,121
4,12
4,16
4,16
4,3
4,1
4,5
4,1
4,1
4,5
3,1
3,105
3,2
3,161
3,23
3,1
3,1
3,1
3,1
3,30
3,3
3,1
3,4
3,1
3,4
3,1930
3,1
3,67
3,9
3,2
3,1
3,4
3,2
3,9
3,22
3,7
3,1
3,22
3,4
3,36
2,623
2,1
2,1
2,1
2,2
2,2
2,32
2,1
2,2
2,1
2,2
2,1
2,254
2,1
2,26
2,26
2,4
2,4
2,30
2,1
2,1
2,1
2,79
2,1
2,18
2,3
2,1
2,14
2,180
1,1
1,18
1,1
1,4
1,6
1,3
1,2
1,1
1,2
1,57
1,1
1,301
1,1
1,99
1,3
1,92
1,15
1,36
1,300
1,1
1,6
1,1
1,2
1,6
1,13
1,14
1,1
1,11
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,10
1,7
1,51
1,1
1,3
1,6
1,4
1,1
1,2
1,1913
1,5
1,1
