beebe
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,5
10,10
11,42
12,117
13,322
14,900
15,696
16,1988
17,4601
18,60704
19,95345
20,72596
21,74692
22,79093
23,78882
24,80391
25,95162
26,100577
27,98961
28,97870
29,122747
30,127937
31,116261
32,145027
33,105631
34,98291
35,91002
36,61637
37,57381
38,54961
39,53753
40,50227
41,51029
42,49810
43,50312
44,49001
45,45179
46,46067
47,44040
48,42684
49,47121
50,45398
51,51821
52,53088
53,53802
54,51704
55,50990
56,62808
57,216433
58,18385
59,21418
60,29724
61,35026
62,89628
63,248556
64,1343940
65,107654
66,377
67,331
68,313
69,373
70,417
71,206
72,514
73,309
74,291
75,320
76,545
77,270
78,310
79,343
80,286
81,300
82,375
83,338
84,381
85,442
86,454
87,406
88,451
89,507
90,598
91,982
92,1164
93,1488
94,2299
95,3866
96,6952
97,17621
98,45331
99,136092
100,556556
