tahi_moana_1m
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,18
15,59
16,84
17,172
18,839
19,280
20,226
21,172
22,1237
23,5436
24,5002
25,1589
26,2066
27,5479
28,9803
29,23778
30,27887
31,26640
32,77222
33,26782
34,16425
35,15243
36,13624
37,13146
38,12869
39,12445
40,12729
41,12420
42,12012
43,11307
44,12134
45,10254
46,12078
47,10804
48,14178
49,10956
50,16598
51,10172
52,11285
53,11189
54,11855
55,13299
56,19661
57,91904
58,4327
59,4807
60,4553
61,4940
62,5858
63,9912
64,13605
65,47881
66,165
67,158
68,190
69,173
70,180
71,167
72,179
73,171
74,266
75,345
76,334
77,346
78,355
79,359
80,342
81,340
82,423
83,347
84,361
85,353
86,398
87,382
88,456
89,471
90,479
91,825
92,945
93,1211
94,1555
95,2256
96,3499
97,9289
98,25918
99,89234
100,559938
