#frequency	superkingdom	phylum	class	order	family	genus	species
0.001676	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Siphoviridae	Unknown Siphoviridae	Unknown Unknown Siphoviridae
0.017944	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	T4likevirus	Unknown T4likevirus
0.001960	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Unknown Myoviridae	Unknown Unknown Myoviridae
0.000005	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Adenoviridae	Mastadenovirus	Unknown Mastadenovirus
0.000004	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Phycodnaviridae	Unknown Phycodnaviridae	Unknown Unknown Phycodnaviridae
0.000095	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Iridoviridae	Lymphocystivirus	Unknown Lymphocystivirus
0.000061	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Iridoviridae	Ranavirus	Unknown Ranavirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Iridoviridae	Chloriridovirus	Unknown Chloriridovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Iridoviridae	Iridovirus	Unknown Iridovirus
0.000002	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Polydnaviridae	Bracovirus	Unknown Bracovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Polydnaviridae	Ichnovirus	Unknown Ichnovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Rhadinovirus	Unknown Rhadinovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Lymphocryptovirus	Unknown Lymphocryptovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Muromegalovirus	Unknown Muromegalovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Cytomegalovirus	Unknown Cytomegalovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Varicellovirus	Unknown Varicellovirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Simplexvirus	Unknown Simplexvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Unknown Herpesviridae	Unknown Unknown Herpesviridae
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Betaentomopoxvirus	Unknown Betaentomopoxvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Yatapoxvirus	Unknown Yatapoxvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Suipoxvirus	Unknown Suipoxvirus
0.000002	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Leporipoxvirus	Unknown Leporipoxvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Capripoxvirus	Unknown Capripoxvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Avipoxvirus	Unknown Avipoxvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Parapoxvirus	Unknown Parapoxvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Orthopoxvirus	Unknown Orthopoxvirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Unknown Poxviridae	Unknown Unknown Poxviridae
0.000001	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Unknown Unknown Unknown Viruses
0.000000	Eukaryota	Apicomplexa	Aconoidasida	Unknown Aconoidasida	Theileriidae	Theileria	Unknown Theileria
0.000015	Eukaryota	Apicomplexa	Aconoidasida	Haemosporida	Unknown Haemosporida	Plasmodium	Unknown Plasmodium
0.000000	Eukaryota	Unknown Unknown Eukaryota	Unknown Unknown Unknown Eukaryota	Dictyosteliida	Unknown Dictyosteliida	Dictyostelium	Unknown Dictyostelium
0.000000	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Unknown Debaryomyces
0.000001	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Unknown Zygosaccharomyces
0.000361	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Unknown Yarrowia
0.000002	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Unknown Kluyveromyces
0.000000	Eukaryota	Unknown Unknown Eukaryota	Cryptophyta	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Unknown Cryptomonas
0.000000	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Unknown Carnobacterium
0.011905	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Unknown Marinobacter
0.000002	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium	Unknown Halanaerobium
0.000001	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Unknown Thermoplasmatales	Unknown Unknown Thermoplasmatales	Unknown Unknown Unknown Thermoplasmatales
0.000000	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Unknown Pyrobaculum
0.000000	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Unknown Thermofilum
