#frequency	superkingdom	phylum	class	order	family	genus
0.000000	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Anaeromyxobacter		
0.000000	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	P2likeviruses		
0.000000	Viruses	Unknown	Unknown	Caudovirales	Myoviridae	Spounalikevirus		
0.000024	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas		
0.000001	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus		
0.000001	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pectobacterium		
0.000000	Bacteria	Chloroflexi	Chloroflexi	Chloroflexales	Chloroflexaceae	Roseiflexus		
0.000279	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zobellia		
0.000000	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio		
0.000000	Bacteria	Cyanobacteria	Unknown	Chroococcales	Unknown	Gloeocapsa		
0.000081	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria		
0.000136	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola		
0.000016	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema		
0.000003	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Modestobacter		
0.000001	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella		
0.000000	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia		
0.000000	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unknown		
0.000243	Eukaryota	Unknown	Cryptophyta	Cryptomonadales	Hemiselmidaceae	Hemiselmis		
0.000000	Bacteria	Cyanobacteria	Unknown	Chroococcales	Unknown	Halothece		
0.000000	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Rhodanobacter		
0.000034	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Unknown	Ostreococcus		
0.000000	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae	Psychromonas		
0.000000	Bacteria	Cyanobacteria	Unknown	Oscillatoriales	Unknown	Geitlerinema		
0.000000	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Dehalobacter		
0.000000	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea		
0.000067	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas		
0.000003	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas		
0.003247	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter		
0.000002	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Unknown		
0.000000	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus		
0.000000	Bacteria	Cyanobacteria	Unknown	Oscillatoriales	Unknown	Leptolyngbya		
0.000000	Bacteria	Cyanobacteria	Unknown	Oscillatoriales	Unknown	Microcoleus		
0.000001	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		
0.000004	Bacteria	Cyanobacteria	Unknown	Chroococcales	Unknown	Cyanothece		
0.000065	Viruses	Unknown	Unknown	Unknown	Ascoviridae	Ascovirus		
0.000000	Viruses	Unknown	Unknown	Herpesvirales	Herpesviridae	Roseolovirus		
0.000042	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Methylophaga		
0.000000	Viruses	Unknown	Unknown	Unknown	Asfarviridae	Asfivirus		
0.007546	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Unknown	Micromonas		
0.005674	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Blattabacteriaceae	Blattabacterium		
0.011872	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus		
0.000000	Bacteria	Firmicutes	Bacilli	Bacillales	Unknown	Exiguobacterium		
0.000000	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Thauera		
